MSFT,INTC,GIS,AMD,NVDA,JNJ,AMZN,PFE,MCD,FDX,Date
222.309998,27.559999,84.410004,62.330002,142.649994,178.800003,83.120003,49.66,262.160004,181.279999,1/5/2023
224.929993,28.73,85.959999,63.959999,148.589996,180.25,86.080002,50.919998,269.470001,185.770004,1/6/2023
227.119995,29.309999,84.68,67.239998,156.279999,175.580002,87.360001,48.389999,267.25,189.740005,1/9/2023
228.850006,29.440001,84.050003,68.050003,159.089996,175.160004,89.870003,47.619999,268.910004,188.740005,1/10/2023
235.770004,29.85,83.949997,69.059998,160.009995,174.880005,95.089996,47.450001,268.809998,192.199997,1/11/2023
238.509995,30.290001,82.529999,70.800003,165.110001,174,95.269997,47.709999,266.690002,191.889999,1/12/2023
239.229996,30.110001,82.510002,71,168.990005,173.429993,98.120003,47.849998,268.890015,188.630005,1/13/2023
240.350006,29.6,81.860001,71.589996,177.020004,172.360001,96.050003,46.080002,274.109985,188.130005,1/17/2023
235.809998,28.809999,78.410004,70.529999,173.770004,169.759995,95.459999,45,266.040009,187.669998,1/18/2023
231.929993,28.42,77.449997,67.709999,167.649994,169.529999,93.68,44.959999,263.579987,184.229996,1/19/2023
240.220001,29.219999,77.459999,70.07,178.389999,168.740005,97.25,45.110001,268.579987,186.880005,1/20/2023
242.580002,30.27,77.400002,76.529999,191.929993,168.309998,97.519997,44.98,269.290009,191.149994,1/23/2023
242.039993,29.92,77.010002,74.699997,192.649994,168.309998,96.32,44.709999,269.559998,189.25,1/24/2023
240.610001,29.700001,77.870003,74.910004,193.229996,169.509995,97.18,45.07,273,187.809998,1/25/2023
248,30.09,76.800003,75.160004,198.020004,168.889999,99.220001,44.25,274.720001,190.139999,1/26/2023
248.160004,28.16,77.889999,75.400002,203.649994,168.229996,102.239998,43.790001,272.459991,190.559998,1/27/2023
242.710007,27.950001,78.209999,72.449997,191.619995,162,100.550003,43.549999,270.890015,184.080002,1/30/2023
247.809998,28.26,78.360001,75.150002,195.369995,163.419998,103.129997,44.16,267.399994,193.860001,1/31/2023
252.75,29.07,77.989998,84.639999,209.429993,164.919998,105.150002,43.970001,266.269989,202.110001,2/1/2023
